;Unnamed: 0;Language;Group;Speaker;Grapheme;Task;File;Problem;Word;Plosive_Index;VOT;Length;Gender;Fricatived
0;0;French;Monolinguals;201;b;naming;b__201_picnam_bague;;bague;13.48026671;55.124717;60.113379;F;False
1;1;French;Monolinguals;201;b;naming;b__201_picnam_balai;;balai;24.92143071;28.46099;34.98862;F;False
2;2;French;Monolinguals;201;b;naming;b__201_picnam_barrette;;barrette;8.303438825;37.687075;42.675737;F;False
3;3;French;Monolinguals;201;b;naming;b__201_picnam_bec;;bec;17.54313339;70.408163;75.396825;F;False
4;4;French;Monolinguals;201;b;naming;b__201_picnam_benne;;benne;35.38984455;56.055649;66.993337;F;False
5;5;French;Monolinguals;201;b;naming;b__201_picnam_berceau;;berceau;12.98203832;33.139185;45.487528;F;False
6;6;French;Monolinguals;201;b;naming;b__201_picnam_berceuse;;berceuse;34.26814942;37.664399;42.653061;F;False
7;7;French;Monolinguals;201;b;naming;b__201_picnam_biche;;biche;8.762355962;86.9161;91.904762;F;False
8;8;French;Monolinguals;201;b;naming;b__201_picnam_bijou;;bijou;7.113705016;58.888889;63.877551;F;False
9;9;French;Monolinguals;201;b;naming;b__201_picnam_bille;;bille;8.890739459;50.068027;55.056689;F;False
10;10;French;Monolinguals;201;b;naming;b__201_picnam_bistrot;;bistrot;6.183957263;53.607727;66.256532;F;False
11;11;French;Monolinguals;201;b;naming;b__201_picnam_bitume;;bitume;33.11333048;56.938776;61.927438;F;False
12;12;French;Monolinguals;201;b;naming;b__201_picnam_bière;;bière;8.437981535;46.30182;55.677934;F;False
13;13;French;Monolinguals;201;b;naming;b__201_picnam_bocal;;bocal;15.89639461;36.996211;43.55949;F;False
14;14;French;Monolinguals;201;b;naming;b__201_picnam_bonnet;;bonnet;14.78716909;28.128342;37.504456;F;False
15;15;French;Monolinguals;201;b;naming;b__201_picnam_bossu;;bossu;8.057736112;45.079365;50.068027;F;False
16;16;French;Monolinguals;201;b;naming;b__201_picnam_bout;;bout;20.08482115;85.322638;91.885918;F;False
17;17;French;Monolinguals;201;b;naming;b__201_picnam_boîtier;;boîtier;4.395858515;70.907029;75.895692;F;False
18;18;French;Monolinguals;201;b;naming;b__201_picnam_béquille;;béquille;31.94059686;39.433107;44.421769;F;False
19;19;French;Monolinguals;201;b;PW;b__201_PW_baje;;baje;18.60959771;99.122401;112.108844;F;False
20;20;French;Monolinguals;201;b;PW;b__201_PW_bamite;;bamite;17.77330461;61.606665;75.907485;F;False
21;21;French;Monolinguals;201;b;PW;b__201_PW_bamé;;bamé;20.59590694;81.658018;91.014666;F;False
22;22;French;Monolinguals;201;b;PW;b__201_PW_baut;;baut;15.698597;88.027211;93.015873;F;False
23;23;French;Monolinguals;201;b;PW;b__201_PW_berlise;;berlise;12.63442048;44.122253;52.176871;F;False
24;24;French;Monolinguals;201;b;PW;b__201_PW_berlit;;berlit;58.06924169;57.505669;62.494331;F;False
25;25;French;Monolinguals;201;b;PW;b__201_PW_berre;;berre;17.51360937;49.977324;54.965986;F;False
26;26;French;Monolinguals;201;b;PW;b__201_PW_bigude;;bigude;5.468958235;69.378401;82.063492;F;False
27;27;French;Monolinguals;201;b;PW;b__201_PW_bime;;bime;32.44273201;101.043084;106.031746;F;False
